uri,Alias,Genotype,Treatment,Repetition,Sowing,Harvesting,Biomass(gramos_pesofresco)
http://www.phenome-fppn.fr/m3p/arch/2017/c17001212,1212/DZ_PG_49/ZM4389/WD/Veg_3/21_12/ARCH2017-03-30,iPG228,WD,3,06/04/2017,12/05/2017,148
http://www.phenome-fppn.fr/m3p/arch/2017/c17001213,1213/DZ_PG_33/ZM4353/WD/Veg_3/21_13/ARCH2017-03-30,iPG158,WD,3,06/04/2017,12/05/2017,264
http://www.phenome-fppn.fr/m3p/arch/2017/c17001214,1214/DZ_PG_23/ZM4388/WD/Veg_3/21_14/ARCH2017-03-30,iPG128,WD,3,06/04/2017,12/05/2017,151
http://www.phenome-fppn.fr/m3p/arch/2017/c17001215,1215/DZ_PG_30/ZM4361/WD/Veg_3/21_15/ARCH2017-03-30,iPG152,WD,3,06/04/2017,12/05/2017,190
http://www.phenome-fppn.fr/m3p/arch/2017/c17001216,1216/DZ_PG_62/ZM4393/WD/Veg_3/21_16/ARCH2017-03-30,iPG303,WD,3,06/04/2017,12/05/2017,157
http://www.phenome-fppn.fr/m3p/arch/2017/c17001217,1217/DZ_PG_63/ZM4392/WD/Veg_3/21_17/ARCH2017-03-30,iPG304,WD,3,06/04/2017,12/05/2017,147
http://www.phenome-fppn.fr/m3p/arch/2017/c17001218,1218/DZ_PG_69/ZM4396/WD/Veg_3/21_18/ARCH2017-03-30,iPG312,WD,3,06/04/2017,12/05/2017,185
http://www.phenome-fppn.fr/m3p/arch/2017/c17001219,1219/DZ_PG_07/ZM4351/WD/Veg_3/21_19/ARCH2017-03-30,iPG062,WD,3,06/04/2017,12/05/2017,263
http://www.phenome-fppn.fr/m3p/arch/2017/c17001220,1220/DZ_PG_38/ZM1289/WD/Veg_3/21_20/ARCH2017-03-30,iPG169,WD,3,06/04/2017,12/05/2017,84
http://www.phenome-fppn.fr/m3p/arch/2017/c17001221,1221/DZ_PG_36/ZM4372/WD/Veg_3/21_21/ARCH2017-03-30,iPG165,WD,3,06/04/2017,12/05/2017,180
http://www.phenome-fppn.fr/m3p/arch/2017/c17001222,1222/DZ_PG_13/ZM4379/WD/Veg_3/21_22/ARCH2017-03-30,iPG089,WD,3,06/04/2017,12/05/2017,175
http://www.phenome-fppn.fr/m3p/arch/2017/c17001223,1223/DZ_PG_55/ZM4355/WD/Veg_3/21_23/ARCH2017-03-30,iPG146,WD,3,06/04/2017,12/05/2017,222
http://www.phenome-fppn.fr/m3p/arch/2017/c17001224,1224/DZ_PG_02/ZM4356/WD/Veg_3/21_24/ARCH2017-03-30,iPG007,WD,3,06/04/2017,12/05/2017,143
http://www.phenome-fppn.fr/m3p/arch/2017/c17001225,1225/DZ_PG_74/ZM4397/WD/Veg_3/21_25/ARCH2017-03-30,iPG313,WD,3,06/04/2017,12/05/2017,189
http://www.phenome-fppn.fr/m3p/arch/2017/c17001226,1226/DZ_PG_24/ZM4342/WD/Veg_3/21_26/ARCH2017-03-30,iPG131,WD,3,06/04/2017,12/05/2017,195
http://www.phenome-fppn.fr/m3p/arch/2017/c17001227,1227/DZ_PG_08/ZM4343/WD/Veg_3/21_27/ARCH2017-03-30,iPG063,WD,3,06/04/2017,12/05/2017,178
http://www.phenome-fppn.fr/m3p/arch/2017/c17001228,1228/DZ_PG_05/ZM4357/WD/Veg_3/21_28/ARCH2017-03-30,iPG026,WD,3,06/04/2017,12/05/2017,170
http://www.phenome-fppn.fr/m3p/arch/2017/c17001229,1229/DZ_PG_53/ZM4345/WD/Veg_3/21_29/ARCH2017-03-30,iPG190,WD,3,06/04/2017,12/05/2017,206
http://www.phenome-fppn.fr/m3p/arch/2017/c17001230,1230/DZ_PG_16/ZM4359/WD/Veg_3/21_30/ARCH2017-03-30,iPG109,WD,3,06/04/2017,12/05/2017,182
http://www.phenome-fppn.fr/m3p/arch/2017/c17001231,1231/DZ_PG_27/ZM4354/WD/Veg_3/21_31/ARCH2017-03-30,iPG103,WD,3,06/04/2017,12/05/2017,224
